"Rank","NCT Number","Title","Status","Study Results","Conditions","Interventions","Sponsor/Collaborators","Study Type","Locations","Study Documents","URL"
2257,"NCT04418128","Clinical Efficacy of Nafamostat Mesylate for COVID-19 Pneumonia","Not yet recruiting","No Results Available","Corona Virus Infection|COVID-19","Drug: Nafamostat Mesylate","Gyeongsang National University Hospital","Interventional",,,"https://ClinicalTrials.gov/show/NCT04418128"
2258,"NCT04353011","Psychological Impact of Quarantine in Chronic Pain Patient During COVID-19 Outbreak","Completed","No Results Available","Sars-CoV2|Chronic Pain","Other: questionnaire assesment","University Hospital, Lille","Observational","Hopital Roger Salengro, CHU Lille, Lille, France",,"https://ClinicalTrials.gov/show/NCT04353011"
2259,"NCT04351633","Psychological Impact of Quarantine in Osteoporosis Patient During COVID-19 Outbreak","Completed","No Results Available","Sars-CoV2|Osteoporosis","Other: questionnaire assesment","University Hospital, Lille","Observational","Hopital Roger Salengro, CHU Lille, Lille, France",,"https://ClinicalTrials.gov/show/NCT04351633"
2260,"NCT04516928","Study of SARS-CoV2 Virus (COVID-19) Seroprevalence Among Lyon-Bron Military Health Schools Personnel","Recruiting","No Results Available","SARS-CoV Infection|Covid19","Diagnostic Test: Anti-SARS-CoV2 Serology|Other: Questionnaire","Direction Centrale du Service de Santé des Armées","Observational","Antenne Médicale des Ecoles Militaires de Santé de Lyon-Bron (EMSLB), Bron, France",,"https://ClinicalTrials.gov/show/NCT04516928"
2261,"NCT04407390","Effects of Nicotinamide Riboside on the Clinical Outcome of Covid-19 in the Elderly","Recruiting","No Results Available","COVID","Dietary Supplement: Nicotinamide riboside|Dietary Supplement: Placebo","University of Copenhagen|Bispebjerg Hospital|Elysium Health","Interventional","Bispebjerg Hospital, Copenhagen NV, Denmark",,"https://ClinicalTrials.gov/show/NCT04407390"
2262,"NCT04330144","Hydroxychloroquine as Post Exposure Prophylaxis for SARS-CoV-2(HOPE Trial)","Not yet recruiting","No Results Available","Contact Person From COVID-19 Confirmed Patient","Drug: Hydroxychloroquine as post exposure prophylaxis|Other: Others(No intervention)","Gangnam Severance Hospital","Interventional",,,"https://ClinicalTrials.gov/show/NCT04330144"
2263,"NCT04335188","COVID-19 Registry Rhineland-Palatinate (Germany)","Recruiting","No Results Available","COVID","Other: Prospective oberservational registry","IHF GmbH - Institut für Herzinfarktforschung|Ministerium für Soziales, Arbeit, Gesundheit und Demografie des Landes Rheinland-Pfalz","Observational","Klinikum der Stadt Ludwigshafen am Rhein GmbH, Klinik für Herzchirurgie, Ludwigshafen, RLP, Germany",,"https://ClinicalTrials.gov/show/NCT04335188"
2264,"NCT04408170","Facilitating AcceLerated Clinical Validation Of Novel Diagnostics for COVID-19 (FALCON-C19)","Recruiting","No Results Available","Coronavirus Infection|COVID-19","Diagnostic Test: Point-of-care test for SARS-CoV-2","Manchester University NHS Foundation Trust","Observational","Sandwell General Hospital Birmingham NHS Trust, Birmingham, United Kingdom|University Hospitals of Derby and Burton NHS FT, Derby, United Kingdom|Frimley Health NHS FT, Frimley, United Kingdom|Airedale NHS FT, Keighley, United Kingdom|Leeds Teaching Hospital NHS FT, Leeds, United Kingdom|St George's University Hospitals NHS FT, London, United Kingdom|Manchester University NHS FT, Manchester, United Kingdom|Newcastle upon Tyne Hospitals NHS FT, Newcastle Upon Tyne, United Kingdom|Nottingham University Hospitals NHS Trust, Nottingham, United Kingdom|Oxford University Hospitals NHS FT, Oxford, United Kingdom|Royal Berkshire Hospital NHS FT, Reading, United Kingdom|Barking, Havering & Redbridge Hospitals NHS FT, Romford, United Kingdom|Salford Royal NHS FT, Salford, United Kingdom|University Hospital Southampton NHS FT, Southampton, United Kingdom|University Hospitals of North Midlands NHS Trust, Stoke-on-Trent, United Kingdom",,"https://ClinicalTrials.gov/show/NCT04408170"
2265,"NCT04366024","A Novel Nomogram to Predict Severity of COVID-19","Recruiting","No Results Available","COVID-19 Disease|Nomogram Model","Other: other","Xinqiao Hospital of Chongqing","Observational","Xinqiao Hospital of Chongqing, Chongqing, Chongqing, China",,"https://ClinicalTrials.gov/show/NCT04366024"
2266,"NCT04412018","An Investigation on the Effects of Icosapent Ethyl (VascepaTM) on Inflammatory Biomarkers in Individuals With COVID-19","Recruiting","No Results Available","COVID-19|Inflammatory Response","Drug: Icosapent ethyl","Canadian Medical and Surgical Knowledge Translation Research Group|Amarin Corporation|HLS Therapeutics, Inc","Interventional","North York Diagnostic and Cardiology Clinic, Toronto, Ontario, Canada",,"https://ClinicalTrials.gov/show/NCT04412018"
2267,"NCT04366154","Impact of the COVID-19 Infectious Epidemic on the Management of Oncology and Onco-hematology Patients and on the Psychological Consequences for Patients and Caregivers","Active, not recruiting","No Results Available","COVID-19|Cancer","Other: Questionnaire","Centre Francois Baclesse","Observational","Centre François Baclesse, Caen, France|Centre Henri Becquerel, Rouen, France",,"https://ClinicalTrials.gov/show/NCT04366154"
2268,"NCT04390191","Early CPAP in COVID-19 Confirmed or Suspected Patients","Recruiting","No Results Available","COVID-19|COVID|Coronavirus","Device: Continuous Positive Airway Pressure","Icahn School of Medicine at Mount Sinai|Itamar Medical LTD|Community Surgical Supply of Toms River, Inc|Philips Healthcare","Interventional","Icahn School of Medicine at Mount Sinai, New York, New York, United States",,"https://ClinicalTrials.gov/show/NCT04390191"
2269,"NCT04318015","Hydroxychloroquine Chemoprophylaxis in Healthcare Personnel in Contact With COVID-19 Patients (PHYDRA Trial)","Recruiting","No Results Available","COVID-19|Severe Acute Respiratory Syndrome","Drug: Hydroxychloroquine|Drug: Placebo oral tablet","National Institute of Respiratory Diseases, Mexico|Sanofi","Interventional","Instituto Nacional de Enfermedades Respiratorias, ""Ismael Cosío Villegas"", Mexico, City, Mexico",,"https://ClinicalTrials.gov/show/NCT04318015"
2270,"NCT04496245","Reducing Acute Severe Respiratory Events in Health Care Workers During the Covid-19 Pandemic With OM85","Recruiting","No Results Available","Respiratory Viral Infection|Covid19","Drug: Broncho-Vaxom®","The University of Queensland|Griffith University|The Prince Charles Hospital|Princess Alexandra Hospital, Brisbane, Australia|Telethon Kids Institute|Queensland Children's Hospital, Brisbane, Australia","Interventional","The Prince Charles Hospital, Brisbane, Queensland, Australia|The Princess Alexandra Hospital, Brisbane, Queensland, Australia|Queensland Children's Hospital, South Brisbane, Queensland, Australia","""Informed Consent Form"", https://ClinicalTrials.gov/ProvidedDocs/45/NCT04496245/ICF_000.pdf|""Study Protocol and Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/45/NCT04496245/Prot_SAP_001.pdf","https://ClinicalTrials.gov/show/NCT04496245"
2271,"NCT04341038","Clinical Trial to Evaluate Methylprednisolone Pulses and Tacrolimus in Patients With COVID-19 Lung Injury","Recruiting","No Results Available","COVID-19|Lung Injury","Drug: Tacrolimus|Drug: Methylprednisolone","Hospital Universitari de Bellvitge|Institut d'Investigació Biomèdica de Bellvitge","Interventional","Hospital Universitari de Bellvitge, L'Hospitalet de Llobregat, Barcelona, Spain",,"https://ClinicalTrials.gov/show/NCT04341038"
2272,"NCT04392388","Health, Perception, Practices, Relations and Social Inequalities in the General Population During the Covid-19 Crisis","Recruiting","No Results Available","SARS-CoV 2","Biological: Non applicable","Institut National de la Santé Et de la Recherche Médicale, France","Observational","Inserm, Paris, France",,"https://ClinicalTrials.gov/show/NCT04392388"
2273,"NCT04358614","Baricitinib Therapy in COVID-19","Completed","No Results Available","COVID|Pneumonia","Drug: Baricitinib 4 MG Oral Tablet","Fabrizio Cantini|Hospital of Prato","Interventional","Fabrizio Cantini, Prato, Tuscany, Italy",,"https://ClinicalTrials.gov/show/NCT04358614"
2274,"NCT04414293","Low Dose Pulmonary Irradiation in Patients With COVID-19 Infection of Bad Prognosis","Recruiting","No Results Available","COVID|Pneumonia, Viral","Radiation: Lung Low Dose Radiation","Hospital Provincial de Castellon","Interventional","Hospital Provincial de Castellon, Castellón De La Plana, Castellon, Spain",,"https://ClinicalTrials.gov/show/NCT04414293"
2275,"NCT04335552","Pragmatic Factorial Trial of Hydroxychloroquine, Azithromycin, or Both for Treatment of Severe SARS-CoV-2 Infection","Terminated","No Results Available","SARS-CoV-2","Other: Standard of care|Drug: Hydroxychloroquine|Drug: Azithromycin","Duke University","Interventional","Duke Regional Hospital, Durham, North Carolina, United States|Duke University Hospital, Durham, North Carolina, United States|Durham VA Medical Center, Durham, North Carolina, United States|Duke Raleigh Hospital, Raleigh, North Carolina, United States",,"https://ClinicalTrials.gov/show/NCT04335552"
2276,"NCT04381988","A Study of Hydroxychloroquine vs Placebo to Prevent COVID-19 Infection in Patients Receiving Radiotherapy","Recruiting","No Results Available","COVID-19|Cancer","Drug: Hydroxychloroquine|Other: Placebo|Radiation: Radiation therapy","Memorial Sloan Kettering Cancer Center","Interventional","Memoral Sloan Kettering Basking Ridge (All Protocol Activities), Basking Ridge, New Jersey, United States|Memoral Sloan Kettering Monmouth (All protocol activities), Middletown, New Jersey, United States|Memorial Sloan Kettering Bergen (All protocol Activities), Montvale, New Jersey, United States|Memorial Sloan Kettering Commack (All Protocol Activities), Commack, New York, United States|Memoral Sloan Kettering Westchester (All protocol activities), Harrison, New York, United States|Memorial Sloan Kettering Cancer Center (All Protocol Activities), New York, New York, United States|Memorial Sloan Kettering Nassau (All Protocol Activities), Uniondale, New York, United States",,"https://ClinicalTrials.gov/show/NCT04381988"
2277,"NCT04677478","Impact of the Respiratory Isolation on the Quality of Life in Patients Hospitalized for Tuberculosis or COVID-19","Not yet recruiting","No Results Available","Tuberculosis|Covid19","Other: Impact of respiratory isolation on quality of life","Assistance Publique - Hôpitaux de Paris","Observational",,,"https://ClinicalTrials.gov/show/NCT04677478"
2278,"NCT04371029","Impact of Neck Inspiratory Muscle Activation During Sleep in ICU Patients After a COVID 19 ARDS","Recruiting","No Results Available","ARDS|COVID-19","Other: PSG","University Hospital, Bordeaux","Interventional","Hopital Pellegrin, Bordeaux, France",,"https://ClinicalTrials.gov/show/NCT04371029"
2279,"NCT04444401","Registry on NEN Patients and COVID-19","Recruiting","No Results Available","Neuroendocrine Tumors|COVID-19",,"European Institute of Oncology","Observational","European Institute of Oncology, IEO, IRCCS, Milan, MI, Italy","""Study Protocol and Statistical Analysis Plan: version 1.0"", https://ClinicalTrials.gov/ProvidedDocs/01/NCT04444401/Prot_SAP_000.pdf|""Study Protocol and Statistical Analysis Plan: version 1.1"", https://ClinicalTrials.gov/ProvidedDocs/01/NCT04444401/Prot_SAP_001.pdf|""Informed Consent Form"", https://ClinicalTrials.gov/ProvidedDocs/01/NCT04444401/ICF_002.pdf","https://ClinicalTrials.gov/show/NCT04444401"
2280,"NCT04393961","At-Home COVID-19 Antibody Test Usability Assessment & Behavior Change Study","Recruiting","No Results Available","COVID19|COVID-19|Coronavirus","Device: Premier Biotech COVID-19 IgG/IgM Rapid test Cassette","ProofPilot|Radish Health|Sanesco","Interventional","ProofPilot Online App (https://p.proofpilot.com), New York, New York, United States",,"https://ClinicalTrials.gov/show/NCT04393961"
2281,"NCT04456361","Use of Mesenchymal Stem Cells in Acute Respiratory Distress Syndrome Caused by COVID-19","Active, not recruiting","No Results Available","ARDS, Human|Covid-19","Biological: Mesenchymal Stem Cells derived from Wharton Jelly of Umbilical cords","Instituto de Medicina Regenerativa","Interventional","Instituto de Medicina Regenerativa, Tijuana, Baja California, Mexico",,"https://ClinicalTrials.gov/show/NCT04456361"
2282,"NCT04598347","Evaluation of the Possible Vertical Transmission of SARS-CoV-2 Through Study of Amniotic Fluid and Chorionic Villi of Affected Pregnant Women for the COVID-19","Recruiting","No Results Available","Covid19|Pregnancy Related",,"Fundació Institut de Recerca de l'Hospital de la Santa Creu i Sant Pau","Observational","Hospital de la Santa Creu i Sant Pau, Barcelona, Spain",,"https://ClinicalTrials.gov/show/NCT04598347"
2283,"NCT04392713","Efficacy of Ivermectin in COVID-19","Recruiting","No Results Available","COVID","Drug: Ivermectin 6 MG Oral Tablet (2 tablets)","Combined Military Hospital, Pakistan","Interventional","Combined Military Hospital Lahore, Lahore, Punjab, Pakistan",,"https://ClinicalTrials.gov/show/NCT04392713"
2284,"NCT04558645","Evaluation of Quality of Life in Patients With Type 1 Diabetes Mellitus During the Covid-19 Pandemic","Completed","No Results Available","Type 1 Diabetes Mellitus|Covid19","Other: Online Survey","Gazi University","Observational","Zeliha ÇELİK, Ankara, Çankaya, Turkey",,"https://ClinicalTrials.gov/show/NCT04558645"
2285,"NCT04460443","Sofosbuvir in Treatment of COVID 19","Recruiting","No Results Available","COVID","Drug: sofosbuvir|Drug: Sofosbuvir ledipsavir|Drug: Daclatasvir","Tanta University","Interventional","Sherief Abd-Elsalam, Tanta, Egypt",,"https://ClinicalTrials.gov/show/NCT04460443"
2286,"NCT04469634","Are SARS-CoV-2 Specific Antibodies a Correlate for Protection?","Active, not recruiting","No Results Available","SARS-CoV2|COVID-19","Diagnostic Test: Assessing antibody responses, neutralizing capacity and memory B-cell function","Institute of Tropical Medicine, Belgium|Jessa Hospital|University Hospital, Antwerp|Universiteit Antwerpen|Sciensano|Mensura","Interventional","University Hospital Antwerp, Antwerpen, Belgium|Jessa Hospital, Hasselt, Belgium",,"https://ClinicalTrials.gov/show/NCT04469634"
2287,"NCT04433039","COVID19 Versus H1N1: Radiological Challenge During Next Influenza Season Rising","Completed","No Results Available","COVID",,"Alexandria University","Observational","Faculty of Medicine, University of Alexandria, Alexandria, Egypt",,"https://ClinicalTrials.gov/show/NCT04433039"
2288,"NCT04374123","COVID-19 Serology Screening and Strict Protocol in the Endoscopy Unit","Completed","No Results Available","COVID","Diagnostic Test: Serological screening for IgG and IgM antibodies against COVID-19","Instituto Ecuatoriano de Enfermedades Digestivas","Observational","Ecuadorian Institute of Digestive Diseases, Guayaquil, Guayas, Ecuador",,"https://ClinicalTrials.gov/show/NCT04374123"
2289,"NCT04345848","Preventing COVID-19 Complications With Low- and High-dose Anticoagulation","Recruiting","No Results Available","COVID|Sars-CoV2","Drug: Enoxaparin","University Hospital, Geneva","Interventional","Geneva University Hospitals, Geneva, Switzerland|Centre Hospitalier Universitaire Vaudois (CHUV), Lausanne, Switzerland|Ospedale Regionale di Locarno, Locarno, Switzerland|Hôpital du Valais, Sion, Switzerland",,"https://ClinicalTrials.gov/show/NCT04345848"
2290,"NCT04338568","Screening COVID-19 by Point-of-care Lung Ultrasound: a Validation Study","Recruiting","No Results Available","COVID-19 Pneumonia|Lung Ultrasound","Diagnostic Test: Lung ultrasound","Hasselt University|Ziekenhuis Oost-Limburg","Interventional","Ziekenhuis Oost Limburg, Genk, Limburg, Belgium",,"https://ClinicalTrials.gov/show/NCT04338568"
2291,"NCT04479202","The Effect of Berberine on Intestinal Function and Inflammatory Mediators in Severe Patients With Covid-19","Completed","No Results Available","Berberine|COVID-19","Drug: Berberine|Drug: Montmorrillonite","Chinese Medical Association","Interventional","Nanjing Drum Tower Hospital, Nanjing, Jiangsu, China",,"https://ClinicalTrials.gov/show/NCT04479202"
2292,"NCT04376944","Barrier Measures to Limit Covid-19.Nosocomial Transmission: a Cross-sectional Evaluation","Recruiting","No Results Available","Caregivers|COVID-19","Other: Survey","University Hospital, Montpellier","Observational","Uh Montpellier, Montpellier, France",,"https://ClinicalTrials.gov/show/NCT04376944"
2293,"NCT04632173","Head and Neck cancERs International cOviD-19 collabOraTion","Not yet recruiting","No Results Available","Head and Neck Cancer|Covid19","Other: non interventional study","Hellenic Cooperative Oncology Group|Fondazione IRCCS Istituto Nazionale dei Tumori, Milano|Grupo Español de Tratamiento de Tumores de Cabeza y Cuello|National Cancer Centre, Singapore|Emory University|University of Toronto|University of Birmingham|The University of Queensland","Observational",,,"https://ClinicalTrials.gov/show/NCT04632173"
2294,"NCT04756518","COVID-19 Infection and Machine Learning Using Artificial Intelligence (AI)","Recruiting","No Results Available","COVID-19|COVID|SARS-CoV 2",,"East Suffolk and North Essex NHS Foundation Trust|University of Suffolk","Observational","East Suffolk and North Essex NHS Foundation Trust, Ipswich, United Kingdom",,"https://ClinicalTrials.gov/show/NCT04756518"
2295,"NCT04357431","COVID-19 Among Egyptian Health Care Providers","Completed","No Results Available","COVID","Other: self-administered questionnaire","Assiut University","Observational","Ahmed Abbas, Assiut, Cairo, Egypt",,"https://ClinicalTrials.gov/show/NCT04357431"
2296,"NCT04407689","InterLeukin-7 to Improve Clinical Outcomes in Lymphopenic pAtients With COVID-19 Infection FR BL Cohort","Recruiting","No Results Available","COVID-19|Lymphocytopenia","Drug: Interleukin-7|Drug: Placebo","Revimmune|University Hospital, Limoges|Amarex Clinical Research","Interventional","University Hospital of Limoges, Limoges, France|Hôpital Edouard Herriot, Lyon, France|hopital Edouard Herriot, Lyon, France|Chr Orleans La Source, Orléans, France|hopital COCHIN, Paris, France|Chru Tours, Tours, France",,"https://ClinicalTrials.gov/show/NCT04407689"
2297,"NCT04581161","Proportional Open Ventilation (POV) Device and Its Efficacy in Managing Acute Respiratory Failure in COVID-19 Patients","Recruiting","No Results Available","Acute Respiratory Failure|Covid19","Device: Life2000® Ventilator","Hill-Rom","Interventional","Park Nicolette, Bloomington, Minnesota, United States",,"https://ClinicalTrials.gov/show/NCT04581161"
2298,"NCT04372472","SQuISH-COVID: A Pilot Study","Active, not recruiting","No Results Available","Sepsis|COVID-19",,"Cytovale, Inc.|Biomedical Advanced Research and Development Authority","Observational","Our Lady of the Lake Regional Medical Center, Baton Rouge, Louisiana, United States",,"https://ClinicalTrials.gov/show/NCT04372472"
2299,"NCT04379076","InterLeukin-7 (CYT107) to Improve Clinical Outcomes in Lymphopenic pAtients With COVID-19 Infection UK Cohort","Recruiting","No Results Available","COVID-19|Lymphocytopenia","Drug: Interleukin-7|Drug: Placebos","Revimmune|Amarex Clinical Research","Interventional","Sandwell Birmingham Hospital, Birmingham, United Kingdom|Sandwell Birmingham Hospital, Birmingham, United Kingdom|Bradford Institute for Health Research, Bradford, United Kingdom|ST JAMES's UNIVERSITY HOSPITAL, Leeds, United Kingdom|Medway Maritime Hospital, London, United Kingdom|Guy's and St Thomas' NHS Foundation Trust, London, United Kingdom|King'S College Hospital, London, United Kingdom|Wythenshawe Hospital/ Manchester Royal Infirmary, Manchester, United Kingdom|North Manchester General Hospital, Manchester, United Kingdom|Royal Victoria Infirmary and Freeman Hospital, Newcastle, United Kingdom|Royal Preston Hospital, Preston, United Kingdom|Sunderland Royal Hospital, Sunderland, United Kingdom|Watford General Hospital, Watford, United Kingdom",,"https://ClinicalTrials.gov/show/NCT04379076"
2300,"NCT04629105","Regenerative Medicine for COVID-19 and Flu-Elicited ARDS Using Longeveron Mesenchymal Stem Cells (LMSCs) (RECOVER)","Recruiting","No Results Available","ARDS, Human|Covid19","Biological: Longeveron Mesenchymal Stem Cells (LMSCs)|Other: Placebo","Longeveron LLC","Interventional","Miami VA Healthcare System, Miami, Florida, United States|University of Maryland Medical Center, Baltimore, Maryland, United States|Wake Forest Baptist Medical Center, Winston-Salem, North Carolina, United States",,"https://ClinicalTrials.gov/show/NCT04629105"
2301,"NCT04466371","Perceptions of Undergraduate Students and Teaching Staff on Online Teaching","Not yet recruiting","No Results Available","Covid19","Other: Questionnaire","Misr International University","Observational",,,"https://ClinicalTrials.gov/show/NCT04466371"
2302,"NCT04445311","Ivermectin in Treatment of COVID-19","Recruiting","No Results Available","COVID","Drug: Ivermectin","Zagazig University","Interventional","Waheed Shouman, Zagazig, Sharkia, Egypt",,"https://ClinicalTrials.gov/show/NCT04445311"
2303,"NCT04377997","Safety and Efficacy of Therapeutic Anticoagulation on Clinical Outcomes in Hospitalized Patients With COVID-19","Not yet recruiting","No Results Available","Cardiovascular Diseases|COVID-19","Drug: Enoxaparin","Massachusetts General Hospital|Beth Israel Deaconess Medical Center|Dartmouth-Hitchcock Medical Center","Interventional",,,"https://ClinicalTrials.gov/show/NCT04377997"
2304,"NCT04672291","Nasal Poly-ICLC (Hiltonol®) for Prophylaxis of COVID-19 in Healthy Adults","Not yet recruiting","No Results Available","COVID - 19","Drug: Poly-ICLC (Hiltonol®)","Oncovir, Inc.|University of Calgary","Interventional","Health Research Innovation Centre, Calgary, Alberta, Canada",,"https://ClinicalTrials.gov/show/NCT04672291"
2305,"NCT04724707","Russian Cardiovascular Registry of COVID-19","Recruiting","No Results Available","Covid19|Acute Cardiovascular Disease|Cardiovascular Diseases",,"Federal State Budgetary Institution, V. A. Almazov Federal North-West Medical Research Centre, of the Ministry of Health","Observational","Almazov National Medical Research Centre, Saint Petersburg, Russian Federation",,"https://ClinicalTrials.gov/show/NCT04724707"
2306,"NCT04737161","Safety of T Regulatory Cell Therapy in Subjects With COVID-19 Induced Acute Respiratory Distress Syndrome","Not yet recruiting","No Results Available","Acute Respiratory Distress Syndrome|Covid19","Biological: T regulatory cells","Stanford University","Interventional","Stanford University, Stanford, California, United States",,"https://ClinicalTrials.gov/show/NCT04737161"
2307,"NCT04445220","A Study of Cell Therapy in COVID-19 Subjects With Acute Kidney Injury Who Are Receiving Renal Replacement Therapy","Recruiting","No Results Available","COVID-19|Acute Kidney Injury","Biological: SBI-101","Sentien Biotechnologies, Inc.","Interventional","University of New Mexico School of Medicine, Albuquerque, New Mexico, United States",,"https://ClinicalTrials.gov/show/NCT04445220"
2308,"NCT04445493","EPISODE-PS-COVID: hEad Pulse for Ischemic StrOke DEtection Prehospital Study During the COVID-19 Pandemic ( EPISODEPSCOVID )","Not yet recruiting","No Results Available","Stroke, Acute|COVID-19","Device: MindRhythm Harmony","MindRhythm, Inc.|Wayne State University","Observational",,,"https://ClinicalTrials.gov/show/NCT04445493"
2309,"NCT04537663","Prevention Of Respiratory Tract Infection And Covid-19 Through BCG Vaccination In Vulnerable Older Adults","Recruiting","No Results Available","Respiratory Tract Infections|Covid19","Drug: Bacille Calmette-Guérin (BCG)|Drug: Placebo","UMC Utrecht","Interventional","Meander Medical Center, Amersfoort, Netherlands|Amsterdam University Medical Center, Amsterdam, Netherlands|OLVG, Amsterdam, Netherlands|Rijnstate hospital, Arnhem, Netherlands|Amphia hospital, Breda, Netherlands|Hagahospital, Den Haag, Netherlands|Catharina hospital, Eindhoven, Netherlands|Zuyderland Hospital, Geleen, Netherlands|Martini hospital, Groningen, Netherlands|University Medical Center Groningen, Groningen, Netherlands|Leiden University Medical Center, Leiden, Netherlands|Maastricht University Medical Center, Maastricht, Netherlands|St. Antonius hospital, Nieuwegein, Netherlands|Canisius-Wilhelmina Hospital, Nijmegen, Netherlands|Radboud University Medical Center, Nijmegen, Netherlands|Erasmus Medical Center, Rotterdam, Netherlands|Ikazia Hospital, Rotterdam, Netherlands|Maasstad Hospital, Rotterdam, Netherlands|Bernhoven hospital, Uden, Netherlands|University Medical Center Utrecht, Utrecht, Netherlands",,"https://ClinicalTrials.gov/show/NCT04537663"
2310,"NCT04590274","Safety and Efficacy of Hydroxychloroquine for the Treatment & Prevention of Coronavirus Disease 2019 (COVID-19) Caused by Severe Acute Respiratory Syndrome Coronavirus 2 (SARS-CoV-2)","Not yet recruiting","No Results Available","Covid19|SARS (Severe Acute Respiratory Syndrome)","Drug: Hydroxychloroquine|Dietary Supplement: Vitamins and Minerals|Drug: Azithromycin","International Brain Research Foundation","Interventional",,,"https://ClinicalTrials.gov/show/NCT04590274"
2311,"NCT04750278","A Phase 2/3, Randomized, Double Blind, Placebo Controlled, Multicenter Study to Evaluate the Efficacy and Safety of FP-025 in Patients With Severe to Critical COVID 19 With Associated Acute Respiratory Distress Syndrome (ARDS)","Not yet recruiting","No Results Available","Severe to Critical Coronavirus (CoV) Disease 2019 (COVID 19) With Associated Acute Respiratory Distress Syndrome (ARDS)","Drug: FP-025 100 mg|Drug: FP-025 300 mg|Drug: Placebo","Foresee Pharmaceuticals Co., Ltd.","Interventional",,,"https://ClinicalTrials.gov/show/NCT04750278"
2312,"NCT04760990","A Study to Assess the Potential Impact of Disease Modifying Therapies on COVID-19 Outcomes and the Antibody Response Following an Infection With SARS-CoV-2 in Patients With Multiple Sclerosis Within the Swiss Multiple Sclerosis Cohort.","Recruiting","No Results Available","Multiple Sclerosis|COVID-19 (Severe Coronavirus Disease 2019)","Other: data collection|Other: analysis of blood samples","University Hospital, Basel, Switzerland|Swiss Multiple Sclerosis Society","Observational","Kantonsspital Aarau, Aarau, Switzerland|University Hospital Basel, Department of Neurology and Department of Biomedicine, Basel, Switzerland|Inselspital Bern, Bern, Switzerland|Hôpitaux Universitaires Genève, Genève, Switzerland|Lausanne University Hospital (CHUV), Lausanne, Switzerland|Ospedale Regionale di Lugano, Lugano, Switzerland|Kantonsspital St. Gallen, St. Gallen, Switzerland",,"https://ClinicalTrials.gov/show/NCT04760990"
2313,"NCT04343963","Pyridostigmine in Severe SARS-CoV-2 Infection","Recruiting","No Results Available","COVID-19|SARS-CoV-2","Drug: Pyridostigmine Bromide|Drug: Placebo","Instituto Nacional de Ciencias Medicas y Nutricion Salvador Zubiran","Interventional","Instituto Nacional de Ciencias Médicas y Nutrición Salvador Zubirán, Ciudad de México, Tlalpan, Mexico",,"https://ClinicalTrials.gov/show/NCT04343963"
2314,"NCT04463823","""NORPLASMA"" Covid-19 Convalescent Plasma Treatment Monitoring Study","Not yet recruiting","No Results Available","COVID",,"Oslo University Hospital","Observational","Oslo University Hospital, Oslo, Norway",,"https://ClinicalTrials.gov/show/NCT04463823"
2315,"NCT04542213","Dipeptidyl Peptidase-4 Inhibitor (DPP4i) for the Control of Hyperglycemia in Patients With COVID-19","Recruiting","No Results Available","Hyperglycemia|Covid19","Drug: Linagliptin tablet|Drug: Insulin","Hospital Regional de Alta Especialidad del Bajio","Interventional","Hospital Regional de Alta Especialidad del Bajìo, Leòn, Guanajuato, Mexico","""Study Protocol and Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/13/NCT04542213/Prot_SAP_000.pdf","https://ClinicalTrials.gov/show/NCT04542213"
2316,"NCT04436458","Niclosamide In Moderate COVID-19","Not yet recruiting","No Results Available","COVID","Drug: Niclosamide Oral Tablet|Drug: Placebo","First Wave Bio, Inc.","Interventional",,,"https://ClinicalTrials.gov/show/NCT04436458"
2317,"NCT04380714","Changes in the Consumption of Psychoactive Substances During Containment Linked to COVID-19","Completed","No Results Available","People Incarcerated|COVID-19",,"University Hospital, Montpellier","Observational","UH Montpellier, Montpellier, France",,"https://ClinicalTrials.gov/show/NCT04380714"
2318,"NCT04251767","Washed Microbiota Transplantation for Patients With 2019-nCoV Infection","Withdrawn","No Results Available","COVID-19 Complicated With Refractory Intestinal Infections","Other: washed microbiota transplantation|Other: placebo","The Second Hospital of Nanjing Medical University","Interventional","Medical Center for Digestive Diseases, The Second Affiliated Hospital of Nanjing Medical University, Nanjing, Jiangsu, China",,"https://ClinicalTrials.gov/show/NCT04251767"
2319,"NCT04729075","Associations Between COVID-19 ARDS Treatment, Clinical Trajectories and Liberation From Mechanical Ventilator - an Analysis of the NorthCARDS Dataset","Completed","No Results Available","ARDS, Human|Covid19","Other: ARDS and COVID19 treatments","Northwell Health|BioSymetrics|Feinstein Institute for Medical Research","Observational","Feinstein Institutes for Medical Research, Manhasset, New York, United States",,"https://ClinicalTrials.gov/show/NCT04729075"
2320,"NCT04528927","Evaluation of the Efficacy and Safety of Treatments for Patients Hospitalized for COVID-19 Infection Without Signs of Acute Respiratory Failure, in Tunisia","Withdrawn","No Results Available","COVID 19|Patients Hospitalized","Drug: HCQ|Drug: Azithromycin|Drug: Doxycycline|Dietary Supplement: Zinc","Abderrahmane Mami Hospital|Eshmoun Clinical Research Centre|Datametrix","Interventional","Eshmoun Clinical Research Centre, Tunis, Tunisia",,"https://ClinicalTrials.gov/show/NCT04528927"
